SIC_Section,SIC_Codes,SIC_Classification,id,ref_no,name,pointx_class,groupname,categoryname,classname,feature_easting,feature_northing,pos_accuracy,uprn,topo_toid,topo_toid_version,usrn,usrn_mi,distance,address_detail,street_name,locality,geographic_county,postcode,admin_boundary,telephone_number,url,brand,qualifier_type,qualifier_data,provenance,supply_date
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4727,54660812,J Walter Thompson London,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,527609,179600,1,10033537193,osgb1000005150872,10,8400669,1,42.4,1,Knightsbridge Green,London,Greater London,SW1X 7NW,City of Westminster London Boro,2076567000,www.jwt.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4729,54662520,Lip Service Casting Ltd,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529495,180823,1,1.00E+11,osgb1000042219568,7,8401132,1,11.8,53a,Brewer Street,London,Greater London,W1F 9UH,City of Westminster London Boro,2077343393,www.lipservice.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4732,54654651,D J M P A N,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529447,180919,1,,osgb1000042219125,4,8401654,2,14.4,"Unlimited House, 10",Great Pulteney Street,London,Greater London,W1F 9NB,City of Westminster London Boro,2089482020,www.unlimitedgroup.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4734,54663196,Bygraves Bushell Valladares & Sheldon Ltd,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529741,181283,1,1.00E+11,osgb1000042220621,2,8401018,2,11,"1st Floor Manor House, 21 Soho Square",Westminster,London,Greater London,W1D 3QE,City of Westminster London Boro,2077344445,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4739,54655327,Mercieca,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528650,181126,1,10033540174,osgb1000005294487,6,8400159,2,18.2,345 Oxford Street,Westminster,London,Greater London,W1C 2JD,City of Westminster London Boro,2074850100,www.mercieca.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4750,54657852,Portman Consultancy,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,525527,181340,1,1.00E+11,osgb1000042156163,2,8400732,1,12.1,29a,Alexander Street,London,Greater London,W2 5NU,City of Westminster London Boro,2072434435,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4752,54654558,Sold Out,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529168,181475,1,1.00E+11,osgb1000005428543,3,8401379,1,19.8,Elsley Court 20-22,Great Titchfield Street,London,Greater London,W1W 8BE,City of Westminster London Boro,2077040409,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4753,54655219,Total Media,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529390,181232,1,1.00E+11,osgb1000005428791,4,8401467,1,26.6,Seventh Floor (Excluding Rear West) Waverley House 7-12,Noel Street,London,Greater London,W1F 8GQ,City of Westminster London Boro,2079373793,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4756,54662571,Astus UK,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,530438,180774,1,10033628508,osgb1000005574219,8,8401037,1,9.2,Fifth Floor Davidson Building 5,Southampton Street,London,Greater London,WC2E 7HA,City of Westminster London Boro,2076304300,www.astusuk.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4757,54659808,7 Stars,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,530711,180941,1,1.00E+11,osgb1000005573524,2,8401576,1,46.3,"North West Wing Bush House, 57 Aldwych",Westminster,London,Greater London,WC2B 4PJ,City of Westminster London Boro,2074367275,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4759,54658649,Publicis London,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528022,181737,1,10033590103,osgb1000005293311,3,8401123,1,23.9,72-86,Baker Street,London,Greater London,W1U 6AE,City of Westminster London Boro,2079354426,www.publicis.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4766,54662718,Greg Corbett Associates Ltd,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528816,179060,1,1.00E+11,osgb1000005287983,5,8401632,3,14.5,"6th Floor Terminal House, 52 Grosvenor Gardens",Westminster,London,Greater London,SW1W 0AU,City of Westminster London Boro,2077306033,www.gca-international.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4767,54658138,Blow Up Media UK Ltd,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528970.5,181982.8,1,1.00E+11,osgb1000005292660,5,8401064,2,13.2,Prince Regent House 3-8,Carburton Street,London,Greater London,W1W 5AJ,City of Westminster London Boro,2073077020,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4770,54661378,Real Media UK Ltd,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,526292.1,181402.3,1,1.00E+11,osgb1000042176278,5,8401635,3,31.4,121-141,Westbourne Terrace,London,Greater London,W2 6BU,City of Westminster London Boro,2075633800,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4776,54649918,Plus Agency London,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529495,180823,1,1.00E+11,osgb1000042219568,7,8401132,1,11.8,"Second Floor, 53a",Brewer Street,London,Greater London,W1F 9UH,City of Westminster London Boro,2074942221,www.plusagency.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4777,54656213,Ubiquitous,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529140,181144,1,10033529103,osgb1000005428829,5,8401092,1,19.6,Sutherland House 5-6,Argyll Street,London,Greater London,W1F 7TE,City of Westminster London Boro,2072913700,www.ubiqtaxis.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4778,54656343,Essence Global,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529205,181320,1,10033590439,osgb1000005428611,5,8401379,1,12.6,Sixth Floor South East United Kingdom House 2a,Great Titchfield Street,London,Greater London,W1D 1NN,City of Westminster London Boro,2077584200,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4779,54659061,Network,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528971,181983,1,1.00E+11,osgb1000005292660,5,8401064,1,13.1,"Prince Regent House, 3-8",Carburton Street,London,Greater London,W1W 5AJ,City of Westminster London Boro,2072914700,www.network-london.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4782,54655117,The Brooklyn Brothers,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529493,180798,1,10033616662,osgb1000042219573,3,8401017,1,23,11月29日,Smith's Court,London,Greater London,W1D 7DP,City of Westminster London Boro,2072926200,www.thebrooklynbrothers.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4783,54654734,Clear Channel,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529322.6,180866.1,1,10033604336,osgb1000042219688,3,8401357,1,20.5,32-33,Golden Square,London,Greater London,W1F 9JW,City of Westminster London Boro,2074782200,,Clear Channel UK Ltd,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4788,54654611,The Grove Media,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,525546,181138,1,1.00E+11,osgb1000042155846,4,8401341,1,12.9,35,Garway Road,London,Greater London,W2,City of Westminster London Boro,2072217292,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,4791,54659725,John Ayling & Associates,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529740,181191,1,1.00E+11,osgb1000042221276,2,8401018,1,26.4,27,Soho Square,London,Greater London,W1D 3QR,City of Westminster London Boro,2074396070,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,5421,54869535,Webber Represents,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529483,181480,1,10033598687,osgb1000005428670,2,8401464,1,17.1,First Floor Flat 18,Newman Street,London,Greater London,W1T 1PE,City of Westminster London Boro,2074390678,www.webberrepresents.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,5618,68692042,White Spider Media,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529736,178865,1,10033625605,osgb1000005417935,4,8400272,1,50.5,"Ground Floor Rear, 1",Vincent Square,London,Greater London,SW1P 2PN,City of Westminster London Boro,2079011590,www.whitespidermedia.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,5643,64346681,Khaleej Times,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,527733,181268,1,1.00E+11,osgb1000042197801,3,8401371,1,27.1,47,Great Cumberland Place,London,Greater London,W1H 7TQ,City of Westminster London Boro,2077235083,www.khaleejtimes.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,5657,64345044,Henley Media Group,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528709.9,178735.3,1,,osgb5000005101624680,1,8400915,2,7.8,123,Buckingham Palace Road,London,Greater London,SW1W 9SR,City of Westminster London Boro,2078710123,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,5851,68691944,Tag Ltd,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529409,181105,1,1.00E+11,osgb1000005429153,4,8400611,1,13.5,1月5日,Poland Street,London,Greater London,W1F 8PR,City of Westminster London Boro,2072514571,www.wlt.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,6144,64111253,Smithfield Consultants,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529426,179210,1,,osgb1000042217206,4,8400269,2,30.7,Fourth Floor Southside 105,Victoria Street,London,Greater London,SW1E 6QT,City of Westminster London Boro,2079030600,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,6286,75371612,Together Communications,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,525965,182013,1,10033530762,osgb1000004196224,4,8400904,1,13.3,"Basement and Ground Floor Flat, 14",Bristol Gardens,London,Greater London,W9 2JG,City of Westminster London Boro,2074328833,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,6550,80417930,The & Partnership,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529658,181436,1,10033627141,osgb1000001787354353,1,20401075,2,26.4,Fifth Floor 17,Gresse Street,London,Greater London,W1T 1QL,City of Westminster London Boro,2074628500,www.theandpartnership.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,6715,78316595,C B Prime Ltd,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529727,179299,1,1.00E+11,osgb1000042217061,4,8401001,1,14.2,10,Abbey Orchard Street,London,Greater London,SW1P 2JP,City of Westminster London Boro,2072221154,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,7150,85519473,Metia,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529777,180948,1,10033570247,osgb1000042218731,4,8400552,1,25.6,77,Shaftesbury Avenue,London,Greater London,W1D 5DU,City of Westminster London Boro,2031003500,www.metia.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,7163,85526433,Hadwick Media Ltd,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528689,181503,1,1.00E+11,osgb1000005292940,6,8400408,1,17.7,29,Harley Street,London,Greater London,W1G 9QR,City of Westminster London Boro,2071836275,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,7183,85519922,Adam & Eve D D B,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,526330,181471,1,10033547215,osgb1000042176505,6,8401271,1,14.9,12,Bishop's Bridge Road,London,Greater London,W2 6AA,City of Westminster London Boro,2072583979,www.adamandeveddb.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,7251,85536508,Grand Visual,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529367,180680,1,1.00E+11,osgb1000042219053,3,8401349,1,27.5,"Venture House, 27-29",Glasshouse Street,London,Greater London,W1B 5RT,City of Westminster London Boro,2032050011,www.grandvisual.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,7490,85625644,Smuggler London Ltd,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529185,181595,1,10033530628,osgb1000005427160,4,8400316,1,18.6,2月3日,Bourlet Close,London,Greater London,W1W 7BQ,City of Westminster London Boro,2076367665,www.smugglersite.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,7555,85620599,Medialab,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529107,181473,1,10091972600,osgb1000005428446,4,8400846,1,18.4,3-4a,Little Portland Street,London,Greater London,W1W 7JB,City of Westminster London Boro,2075341760,www.medialabgroup.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,7585,85609325,B C M Advertising,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528372,181769,1,1.00E+11,osgb1000005293435,2,8401612,1,31.2,54,Weymouth Street,London,Greater London,W1G 6NU,City of Westminster London Boro,2074861889,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,7782,91447603,Studio Hansa,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529292,181442,1,10033642098,osgb1000005428570,2,8400276,1,17.4,"Second Floor Right, 70",Wells Street,London,Greater London,W1T 3QE,City of Westminster London Boro,2073837373,www.studiohansa.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,7898,91434749,Healthcircle,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529208,180880,1,10033542252,osgb1000042219242,4,8401217,2,13.9,"444 Linen Hall, 162-168 Regent Street",Westminster,London,Greater London,W1B 5TD,City of Westminster London Boro,2070380650,www.healthcircle-uk.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,7923,91433786,Madison Bell,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529745,181285,1,1.00E+11,osgb1000042220621,2,8401018,1,15.5,Manor House 21,Soho Square,London,Greater London,W1D 3QP,City of Westminster London Boro,2073890800,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,7988,91404968,J C Decaux,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,527070.1,181536.1,1,,osgb1000042196721,3,8400572,3,20.4,Summit House 27,Sale Place,London,Greater London,W2 1YR,City of Westminster London Boro,2072988000,www.jcdecaux.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,8025,91373577,The Network One,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529398,180944.6,1,,osgb1000042219491,4,8401116,2,9.6,48,Beak Street,London,Greater London,W1F 9RL,City of Westminster London Boro,2072407117,www.thenetworkone.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,8133,85642675,A T M - A D,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529151.8,181496.2,1,,osgb1000005427190,6,8401379,3,10,57-61,Mortimer Street,London,Greater London,W1W 8HS,City of Westminster London Boro,2030088287,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,8286,96516183,Sub TV U,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528690.1,178800.8,1,1.00E+11,osgb1000005283852,3,8400915,1,35,140,Buckingham Palace Road,London,Greater London,SW1W 9SA,City of Westminster London Boro,2078812540,www.sub.tv,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,8362,96513490,M Six,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529504,181534,1,1.00E+11,osgb1000005426347,8,8400228,1,14.6,13-15,Rathbone Street,London,Greater London,W1T 1NB,City of Westminster London Boro,2070799800,www.msixagency.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,8425,91381818,Content Is King,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,530383,181182,1,1.00E+11,osgb1000005576888,3,8400849,1,15.7,79,Long Acre,London,Greater London,WC2E 9NG,City of Westminster London Boro,2076309141,www.contentisking.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,8718,97790220,Green Rock,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528969,181494,1,10033631144,osgb1000005294329,6,8401025,1,34,Fourth Floor Henry Wood House 2,Riding House Street,London,Greater London,W1W 7FA,City of Westminster London Boro,2078332277,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,8921,104570974,Publicis Chemistry,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528026,181725,1,1.00E+11,osgb1000005293312,3,8401123,1,24.4,82,Baker Street,London,Greater London,W1U 6AE,City of Westminster London Boro,2079357744,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,8926,104558370,Audience Media Ltd,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,527895,181618,1,10091852738,osgb1000042196190,2,8400963,1,14.8,26,Dorset Street,London,Greater London,W1U 8AP,City of Westminster London Boro,2074867007,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,9280,103823217,Lida,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529329,180885,1,1.00E+11,osgb1000042219531,3,8401357,1,32,34-36,Golden Square,London,Greater London,W1F 9EE,City of Westminster London Boro,2075443700,www.lida.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,9365,103821510,Feref,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529430,180946,1,1.00E+11,osgb1000042219129,3,8401654,1,12.4,17-18,Great Pulteney Street,London,Greater London,W1F 9NE,City of Westminster London Boro,2072926300,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,9515,108302087,Learner Adams Bones,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529592,180780,1,1.00E+11,osgb1000042218050,4,8400552,1,22.7,Avenue House 25-27,Shaftesbury Avenue,London,Greater London,W1D 7EQ,City of Westminster London Boro,2037804630,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,9555,108320184,Tantrum,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529445,181152,1,10033530437,osgb1000005429182,2,8400335,1,16.3,73-74,Berwick Street,London,Greater London,W1F 8TE,City of Westminster London Boro,2074399105,www.tantrum.tv,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,9558,108278022,The Press Association,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529107,178999,1,1.00E+11,osgb1000005419392,14,8401243,1,15.8,Denison House 292,Vauxhall Bridge Road,London,Greater London,SW1V 1AE,City of Westminster London Boro,2079637000,www.pressassociation.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,9579,108309409,I M D,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528943,181311,1,10091855875,osgb1000005294369,3,8400485,1,11.9,Allan House 10,John Prince's Street,London,Greater London,W1G 0JW,City of Westminster London Boro,2074686868,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,9616,108278225,V C C P,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529436,179093,1,10091898149,osgb1000042217098,5,8401330,1,20,Greencoat House,Francis Street,London,Greater London,SW1P 1DH,City of Westminster London Boro,2075929331,www.vccp.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,9806,105211596,Keith Bishop Public Relations Ltd,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529739,180975,1,1.00E+11,osgb1000042218479,3,8400953,1,10.1,48,Dean Street,London,Greater London,W1D 5BF,City of Westminster London Boro,2077349995,www.kbapr.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,10245,108311832,Another Tongue,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529425,181176,1,10033592182,osgb1000005429129,4,8400945,1,13.8,"Basement, 10-11",D'arblay Street,London,Greater London,W1F 8DS,City of Westminster London Boro,2074940300,www.anothertongue.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,10281,108309959,M & C Saatchi,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529329,180885,1,1.00E+11,osgb1000042219531,3,8401357,1,32,34-36,Golden Square,London,Greater London,W1F 9EE,City of Westminster London Boro,2075434500,www.mcsaatchi.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,10464,111222444,Yves Saint Laurent Press Office,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528985,180557,1,10033572417,osgb1000042212442,3,8400965,1,14.1,Ground Floor 27,Dover Street,London,Greater London,W1S 4LZ,City of Westminster London Boro,2072458840,www.ysl.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,10523,109087269,Media Arts Lab,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529950,180994,1,1.00E+11,osgb1000042218569,8,8400626,1,16.5,82,Charing Cross Road,London,Greater London,WC2H 0BA,City of Westminster London Boro,2079648402,www.mediaartslab.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,10527,109101317,T M W Unlimited,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,530037,180937,1,10033572161,osgb1000005573594,5,8400627,1,24.8,Orion House 5,Upper St Martin's Lane,London,Greater London,WC2H 9EA,City of Westminster London Boro,2073494000,www.tmwunlimited.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,10777,118118884,Gold Radio,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529932,180682,1,1.00E+11,osgb1000042217923,7,8400989,1,23.7,29-30,Leicester Square,London,Greater London,WC2H 7LA,City of Westminster London Boro,3332002000,www.goldradiouk.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,10801,118125932,Soho Media Group,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529581,180812,1,2.00E+11,osgb1000042218051,3,8401381,1,14.6,17-19,Great Windmill Street,London,Greater London,W1D 7JZ,City of Westminster London Boro,2071836236,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,10827,123124034,Reed Words,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529231,181065,1,10092022378,osgb1000005429101,3,8401618,1,6.5,28,Foubert's Place,London,Greater London,W1F 7PR,City of Westminster London Boro,2036677446,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,10828,118118894,Candyspace,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,530806,181015,1,10033602444,osgb1000005576241,3,8400747,1,41.1,Second Floor Melbourne House 46,Aldwych,London,Greater London,WC2B 4LL,City of Westminster London Boro,2078367350,www.candyspace.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,10914,111212327,Captify,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,530207,181027,1,1.00E+11,osgb1000005577022,3,8400491,1,12.3,5,Langley Street,London,Greater London,WC2H 9JA,City of Westminster London Boro,2078126330,www.captify.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,11192,124009299,Ignition Creative,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529412,181621,1,,osgb1000005427452,2,8401464,2,15.3,"1st Floor, 40-44 Newman Street",Westminster,London,Greater London,W1T 1QD,City of Westminster London Boro,2076312220,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,11227,123156345,I Crossing,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529677,178633,1,1.00E+11,osgb1000005418371,4,8400035,1,23.6,22,Chapter Street,London,Greater London,SW1P 4NP,City of Westminster London Boro,2078212300,www.icrossing.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,11255,124019131,Construct London,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528991,181040,1,10033579430,osgb1000005294660,5,8400620,1,11.1,8月10日,Pollen Street,London,Greater London,W1S 1NG,City of Westminster London Boro,2072538740,www.constructlondon.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,11268,124006188,Jaegerson Digital,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,530426,180642,1,1.00E+11,osgb1000005574107,4,8401098,1,9.7,7月10日,Adam Street,London,Greater London,WC2N 6AA,City of Westminster London Boro,2071676875,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,11455,125663801,Galaxis Media,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529382,180774,1,1.00E+11,osgb1000042219543,3,8400181,1,7.8,3,Lower John Street,London,Greater London,W1F 9DX,City of Westminster London Boro,2074343038,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,12003,125787752,Final Cut Ltd,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,529143,181430,1,1.00E+11,osgb1000005428494,3,8401186,1,21,13-14,Margaret Street,London,Greater London,W1W 8RN,City of Westminster London Boro,2076361464,www.finalcut-edit.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7311,Advertising Agencies,12069,125793500,Loot Ltd,2080114,Commercial Services,"It, Advertising, Marketing and Media Services",Advertising Services,528807,180385,1,10091852476,osgb1000005291587,5,8400943,1,18,1,Curzon Street,London,Greater London,W1J 5HD,City of Westminster London Boro,2089004243,,,,,118 Information,2024/6/1
